"統計期","捷運站別","進站人次","出站人次","進站人次增減率[%]","出站人次增減率[%]"
"89年","小南門",312377,305898,0,0
"89年","頂溪",6956115,7385609,94.74,98.60
"89年","永安市場",4667781,4618140,87.00,86.48
"89年","景安",4418113,4167575,79.48,87.70
"89年","南勢角",4973489,4846298,72.12,68.59
"89年","台大醫院",6646345,6869969,66.13,71.29
"89年","台北車站BL",20375774,16378883,73.64,62.09
"89年","台北車站R",12772237,14504292,109.30,93.73
"89年","中山R",8167011,8525299,54.50,50.01
"89年","雙連",4272797,4608980,82.44,76.13
"89年","民權西路R",6794967,7051245,71.59,67.72
"89年","圓山",4367720,4490230,93.45,103.11
"89年","劍潭",6972280,7371384,76.20,83.49
"89年","士林",6802047,7459999,59.62,56.23
"89年","芝山",4649500,4275954,53.38,49.13
"89年","明德",3326622,3060456,36.74,38.83
"89年","石牌",6437431,6621907,48.91,51.00
"89年","唭哩岸",1962806,1779860,31.74,31.86
"89年","奇岩",1922063,1397725,36.24,32.05
"89年","北投",3959699,4232594,35.71,50.35
"89年","新北投",1633564,1426856,-0.38,-8.46
"89年","復興崗",835073,810259,11.01,13.14
"89年","忠義",840826,856999,23.98,29.80
"89年","關渡",2265971,2373303,22.15,27.68
"89年","竹圍",2529395,2457267,25.00,27.90
"89年","紅樹林",1450337,1466372,46.58,72.16
"89年","淡水",9389269,9592337,22.19,23.08
"89年","頂埔",0,0,0,0
"89年","永寧",0,0,0,0
"89年","土城",0,0,0,0
"89年","海山",0,0,0,0
"89年","亞東醫院",0,0,0,0
"89年","府中",0,0,0,0
"89年","板橋",0,0,0,0
"89年","新埔",3144281,3069568,0,0
"89年","江子翠",1254697,1193411,0,0
"89年","龍山寺",5874428,6256104,5039.48,4567.31
"89年","西門",10646203,10616328,6072.50,6681.17
"89年","善導寺",2967646,2905009,6783.57,8174.02
"89年","忠孝新生BL",3438351,3856259,7179.09,8861.38
"89年","忠孝復興BL",6951882,6799694,5851.90,6778.24
"89年","忠孝敦化",6339432,6828621,6387.28,7369.34
"89年","國父紀念館",3602525,3887576,5012.72,5779.75
